,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
237,28,-177.5,1.0,0.0,"(27.5, 28.5, -178.125, -176.875)",0.0,1.0,0.0
238,29,-177.5,1.0,0.0,"(28.5, 29.5, -178.125, -176.875)",0.0,1.0,0.0
239,30,-177.5,1.0,0.0,"(29.5, 30.5, -178.125, -176.875)",0.0,1.0,0.0
240,31,-177.5,1.0,0.0,"(30.5, 31.5, -178.125, -176.875)",0.0,1.0,0.0
241,32,-177.5,1.0,0.0,"(31.5, 32.5, -178.125, -176.875)",0.0,1.0,0.0
242,33,-177.5,1.0,0.0,"(32.5, 33.5, -178.125, -176.875)",0.0,1.0,0.0
243,34,-177.5,1.0,0.0,"(33.5, 34.5, -178.125, -176.875)",0.0,1.0,0.0
244,35,-177.5,1.0,0.0,"(34.5, 35.5, -178.125, -176.875)",0.0,1.0,0.0
245,36,-177.5,1.0,0.0,"(35.5, 36.5, -178.125, -176.875)",0.0,1.0,0.0
246,37,-177.5,1.0,0.0,"(36.5, 37.5, -178.125, -176.875)",0.0,1.0,0.0
247,38,-177.5,1.0,0.0,"(37.5, 38.5, -178.125, -176.875)",0.0,1.0,0.0
248,39,-177.5,1.0,0.0,"(38.5, 39.5, -178.125, -176.875)",0.0,1.0,0.0
249,40,-177.5,1.0,0.0,"(39.5, 40.5, -178.125, -176.875)",0.0,1.0,0.0
250,41,-177.5,1.0,0.0,"(40.5, 41.5, -178.125, -176.875)",0.0,1.0,0.0
251,42,-177.5,1.0,0.0,"(41.5, 42.5, -178.125, -176.875)",0.0,1.0,0.0
252,43,-177.5,1.0,0.0,"(42.5, 43.5, -178.125, -176.875)",0.0,1.0,0.0
253,44,-177.5,1.0,0.0,"(43.5, 44.5, -178.125, -176.875)",0.0,1.0,0.0
254,45,-177.5,1.0,0.0,"(44.5, 45.5, -178.125, -176.875)",0.0,1.0,0.0
255,46,-177.5,1.0,0.0,"(45.5, 46.5, -178.125, -176.875)",0.0,1.0,0.0
256,47,-177.5,1.0,0.0,"(46.5, 47.5, -178.125, -176.875)",0.0,1.0,0.0
257,48,-177.5,1.0,0.0,"(47.5, 48.5, -178.125, -176.875)",0.0,1.0,0.0
258,49,-177.5,1.0,0.0,"(48.5, 49.5, -178.125, -176.875)",0.0,1.0,0.0
259,50,-177.5,1.0,0.0,"(49.5, 50.5, -178.125, -176.875)",0.0,1.0,0.0
260,51,-177.5,1.0,0.0,"(50.5, 51.5, -178.125, -176.875)",0.0,1.0,0.0
261,52,-177.5,1.0,0.0,"(51.5, 52.5, -178.125, -176.875)",0.0,1.0,0.0
262,53,-177.5,1.0,0.0,"(52.5, 53.5, -178.125, -176.875)",0.0,1.0,0.0
263,54,-177.5,1.0,0.0,"(53.5, 54.5, -178.125, -176.875)",0.0,1.0,0.0
264,55,-177.5,1.0,0.0,"(54.5, 55.5, -178.125, -176.875)",0.0,1.0,0.0
