lat,lng,pvalue,inside,group,rect,drywet
-67,-177.5,4.5443439822083875714e-05,false,,[object Object],
-66,-177.5,0.0006259454220478992718,false,,[object Object],
-65,-177.5,0.087934871466496450365,false,,[object Object],
-64,-177.5,0.22236867092696135928,false,,[object Object],
-63,-177.5,0.60781014811865241576,false,,[object Object],
-62,-177.5,0.18231185638413255345,false,,[object Object],
-61,-177.5,0.023028819895186167233,false,,[object Object],
-60,-177.5,0.021314768468179642186,false,,[object Object],
-59,-177.5,0.013326222407692699459,false,,[object Object],
-58,-177.5,0.010202520798812741293,false,,[object Object],
-57,-177.5,0.0078650952780835448053,false,,[object Object],
-56,-177.5,0.030446223657096142812,false,,[object Object],
-55,-177.5,0.12591968021354152385,false,,[object Object],
-54,-177.5,0.045146066529024760083,false,,[object Object],
-53,-177.5,0.019376967623741924579,false,,[object Object],
-52,-177.5,0.044265777128173852684,false,,[object Object],
-51,-177.5,0.0070332525431320222498,false,,[object Object],
-50,-177.5,0.0089624312456011712147,false,,[object Object],
-49,-177.5,0.0030825656728611493945,false,,[object Object],
-48,-177.5,0.00019386319643304597365,false,,[object Object],
-47,-177.5,0.00013423148576578611225,false,,[object Object],
-46,-177.5,0.00016709852710887447081,false,,[object Object],
-45,-177.5,7.6368398832738426055e-06,false,,[object Object],
-44,-177.5,4.2869469446336141237e-06,false,,[object Object],
-43,-177.5,7.9321193246389073441e-05,false,,[object Object],
-42,-177.5,8.0629539611263174046e-05,false,,[object Object],
-41,-177.5,0.00017636259104681270538,false,,[object Object],
-40,-177.5,0.0025923778405247143754,false,,[object Object],
-39,-177.5,0.019511999207172826126,false,,[object Object],
-38,-177.5,0.019925332899558195754,false,,[object Object],
-37,-177.5,0.0065003466189559894889,false,,[object Object],
-36,-177.5,0.0024410865617322729734,false,,[object Object],
-35,-177.5,0.056046474882055587197,false,,[object Object],
-34,-177.5,0.074198954967653385495,false,,[object Object],
-33,-177.5,0.07259503336928228856,false,,[object Object],
-32,-177.5,0.2215224087521670826,false,,[object Object],
-31,-177.5,0.018704407849312494616,false,,[object Object],
-30,-177.5,0.002355731182620646267,true,dry#0,[object Object],
-29,-177.5,0.00016844641263519754236,true,dry#0,[object Object],
-28,-177.5,5.8969995533743018302e-05,true,dry#0,[object Object],
-27,-177.5,3.0910402436828667222e-05,true,dry#0,[object Object],
-26,-177.5,0.00031296187599735896196,true,dry#0,[object Object],
-25,-177.5,0.00037022484016962646817,true,dry#0,[object Object],
-24,-177.5,7.5854742409292105917e-05,true,dry#0,[object Object],
-23,-177.5,5.8363307759212574547e-05,true,dry#0,[object Object],
-22,-177.5,0.0003011225658277054038,true,dry#0,[object Object],
-21,-177.5,2.2672455640000117947e-05,false,,[object Object],
-20,-177.5,0.00051591567009301019658,false,,[object Object],
-19,-177.5,0.0016930971728354338602,false,,[object Object],
-18,-177.5,0.00018432944296404687513,false,,[object Object],
-17,-177.5,0.00023950867147355865173,false,,[object Object],
-16,-177.5,0.0089954059395200725718,false,,[object Object],
-15,-177.5,0.00074142401441928604527,false,,[object Object],
-14,-177.5,0.28440709697916111143,false,,[object Object],
-13,-177.5,0.75453386332380756318,false,,[object Object],
-12,-177.5,0.65042351784417951066,false,,[object Object],
-11,-177.5,0.40414477089027422974,false,,[object Object],
-10,-177.5,0.062028989881423086949,false,,[object Object],
-9,-177.5,0.0037814540932570020124,false,,[object Object],
-8,-177.5,3.1651403473838112944e-06,false,,[object Object],
-7,-177.5,1.1244464528303932308e-08,false,,[object Object],
-6,-177.5,2.6409660627322412495e-11,false,,[object Object],
-5,-177.5,4.078867429771727673e-13,true,wet#11,[object Object],
-4,-177.5,1.6858727333245664658e-14,true,wet#11,[object Object],
-3,-177.5,1.34986165666152182e-15,true,wet#11,[object Object],
-2,-177.5,1.3725308207790329248e-21,true,wet#11,[object Object],
-1,-177.5,2.5052588215521041437e-23,true,wet#11,[object Object],
0,-177.5,1.7166908602232507604e-23,true,wet#11,[object Object],
1,-177.5,2.2632219191453589055e-26,true,wet#11,[object Object],
2,-177.5,3.152485054766826742e-28,true,wet#11,[object Object],
3,-177.5,1.0126293828872419198e-15,true,wet#11,[object Object],
4,-177.5,1.3580874099271861577e-08,true,wet#11,[object Object],
5,-177.5,4.8549607419177814307e-05,false,,[object Object],
6,-177.5,0.003097951807719526076,false,,[object Object],
7,-177.5,0.0018130022155179838575,false,,[object Object],
