,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
212,-40,-20,0.2058999999999999,0.2058999999999999,"(-45.0, -35.0, -25.0, -15.0)",-0.6863436533819689,1.0,0.0
213,-30,-20,0.3381,0.3381,"(-35.0, -25.0, -25.0, -15.0)",-0.47095482923423104,1.0,0.0
214,-20,-20,0.4425,0.4425,"(-25.0, -15.0, -25.0, -15.0)",-0.3540867249661558,1.0,0.0
215,-10,-20,0.137,0.137,"(-15.0, -5.0, -25.0, -15.0)",-0.8632794328435931,1.0,0.0
216,0,-20,0.0022999999999999,0.0022999999999999,"(-5.0, 5.0, -25.0, -15.0)",-2.638272163982426,0.0022999999999999,24.0
217,10,-20,0.2903,0.2903,"(5.0, 15.0, -25.0, -15.0)",-0.5371529641683263,1.0,0.0
218,20,-20,0.8155999999999999,0.8155999999999999,"(15.0, 25.0, -25.0, -15.0)",-0.08852278289389767,1.0,0.0
219,30,-20,0.9261,0.9261,"(25.0, 35.0, -25.0, -15.0)",-0.03334211579824218,1.0,0.0
220,40,-20,0.0585,0.0585,"(35.0, 45.0, -25.0, -15.0)",-1.2328441339178196,1.0,0.0
221,50,-20,0.2782,0.2782,"(45.0, 55.0, -25.0, -15.0)",-0.5556428743439723,1.0,0.0
222,60,-20,0.1761999999999999,0.1761999999999999,"(55.0, 65.0, -25.0, -15.0)",-0.7539940959239712,1.0,0.0
223,70,-20,0.8016999999999999,0.8016999999999999,"(65.0, 75.0, -25.0, -15.0)",-0.09598811640261184,1.0,0.0
224,-60,-10,0.9859,0.9859,"(-65.0, -55.0, -15.0, -5.0)",-0.006167133386013857,1.0,0.0
225,-50,-10,0.0517,0.0517,"(-55.0, -45.0, -15.0, -5.0)",-1.2865094569060576,1.0,0.0
226,-40,-10,0.0055999999999999,0.0055999999999999,"(-45.0, -35.0, -15.0, -5.0)",-2.2518119729938073,1.0,12.0
227,-30,-10,0.8425,0.8425,"(-35.0, -25.0, -15.0, -5.0)",-0.07443009045662374,1.0,0.0
228,-20,-10,0.5129,0.5129,"(-25.0, -15.0, -15.0, -5.0)",-0.2899673009342464,1.0,0.0
229,-10,-10,0.2091,0.2091,"(-15.0, -5.0, -15.0, -5.0)",-0.6796459671823282,1.0,0.0
230,0,-10,0.0002999999999999,0.0002999999999999,"(-5.0, 5.0, -15.0, -5.0)",-3.522878745280482,0.0002999999999999,24.0
231,10,-10,0.1839999999999999,0.1839999999999999,"(5.0, 15.0, -15.0, -5.0)",-0.7351821769904637,1.0,0.0
232,20,-10,0.7563999999999999,0.7563999999999999,"(15.0, 25.0, -15.0, -5.0)",-0.12124847982699796,1.0,0.0
233,30,-10,0.7012,0.7012,"(25.0, 35.0, -15.0, -5.0)",-0.15415809257824264,1.0,0.0
234,40,-10,0.1771999999999999,0.1771999999999999,"(35.0, 45.0, -15.0, -5.0)",-0.7515362824489682,1.0,0.0
235,50,-10,0.0783999999999999,0.0783999999999999,"(45.0, 55.0, -15.0, -5.0)",-1.105683937315562,1.0,0.0
236,60,-10,0.4637,0.4637,"(55.0, 65.0, -15.0, -5.0)",-0.33376290410419557,1.0,0.0
237,70,-10,0.9623,0.9623,"(65.0, 75.0, -15.0, -5.0)",-0.016689514205884434,1.0,0.0
238,-60,0,0.7185,0.7185,"(-65.0, -55.0, -5.0, 5.0)",-0.14357322752975551,1.0,0.0
239,-50,0,0.0088,0.0088,"(-55.0, -45.0, -5.0, 5.0)",-2.0555173278498313,1.0,0.0
240,-40,0,0.1529999999999999,0.1529999999999999,"(-45.0, -35.0, -5.0, 5.0)",-0.8153085691824015,1.0,0.0
241,-30,0,0.0415999999999999,0.0415999999999999,"(-35.0, -25.0, -5.0, 5.0)",-1.3809066693732583,1.0,0.0
242,-20,0,0.6755999999999999,0.6755999999999999,"(-25.0, -15.0, -5.0, 5.0)",-0.170310359101029,1.0,0.0
243,-10,0,0.0143,0.0143,"(-15.0, -5.0, -5.0, 5.0)",-1.8446639625349381,1.0,0.0
244,0,0,0.0,0.0,"(-5.0, 5.0, -5.0, 5.0)",-inf,0.0,24.0
245,10,0,0.3454999999999999,0.3454999999999999,"(5.0, 15.0, -5.0, 5.0)",-0.46155194828978285,1.0,0.0
246,20,0,0.6332999999999999,0.6332999999999999,"(15.0, 25.0, -5.0, 5.0)",-0.19839051197268126,1.0,0.0
247,30,0,0.8516,0.8516,"(25.0, 35.0, -5.0, 5.0)",-0.06976434723371504,1.0,0.0
248,40,0,0.3039999999999999,0.3039999999999999,"(35.0, 45.0, -5.0, 5.0)",-0.5171264163912465,1.0,0.0
249,50,0,0.1678999999999999,0.1678999999999999,"(45.0, 55.0, -5.0, 5.0)",-0.7749493038619515,1.0,0.0
250,60,0,0.6047,0.6047,"(55.0, 65.0, -5.0, 5.0)",-0.21846003139405826,1.0,0.0
251,70,0,0.8168999999999998,0.8168999999999998,"(65.0, 75.0, -5.0, 5.0)",-0.08783110394037306,1.0,0.0
252,-60,10,0.8089,0.8089,"(-65.0, -55.0, 5.0, 15.0)",-0.09210516458371713,1.0,0.0
253,-50,10,0.0148,0.0148,"(-55.0, -45.0, 5.0, 15.0)",-1.8297382846050425,1.0,0.0
254,-40,10,0.0051,0.0051,"(-45.0, -35.0, 5.0, 15.0)",-2.2924298239020637,1.0,7.0
255,-30,10,0.1821,0.1821,"(-35.0, -25.0, 5.0, 15.0)",-0.7396900542050799,1.0,0.0
256,-20,10,0.0137,0.0137,"(-25.0, -15.0, 5.0, 15.0)",-1.8632794328435933,1.0,0.0
257,-10,10,0.2174,0.2174,"(-15.0, -5.0, 5.0, 15.0)",-0.6627404602497242,1.0,0.0
258,0,10,0.0071,0.0071,"(-5.0, 5.0, 5.0, 15.0)",-2.1487416512809245,1.0,1.0
259,10,10,0.2793999999999999,0.2793999999999999,"(5.0, 15.0, 5.0, 15.0)",-0.553773598221837,1.0,0.0
260,20,10,0.3240999999999999,0.3240999999999999,"(15.0, 25.0, 5.0, 15.0)",-0.4893209689677902,1.0,0.0
261,30,10,0.2983,0.2983,"(25.0, 35.0, 5.0, 15.0)",-0.5253467466379373,1.0,0.0
262,40,10,0.626,0.626,"(35.0, 45.0, 5.0, 15.0)",-0.20342566678957033,1.0,0.0
263,50,10,0.5555999999999999,0.5555999999999999,"(45.0, 55.0, 5.0, 15.0)",-0.25523776293442213,1.0,0.0
264,60,10,0.9125,0.9125,"(55.0, 65.0, 5.0, 15.0)",-0.039767126871487694,1.0,0.0
265,70,10,0.8567,0.8567,"(65.0, 75.0, 5.0, 15.0)",-0.06717123309915336,1.0,0.0
266,-60,20,0.968,0.968,"(-65.0, -55.0, 15.0, 25.0)",-0.014124642691606343,1.0,0.0
267,-50,20,0.0320999999999999,0.0320999999999999,"(-55.0, -45.0, 15.0, 25.0)",-1.4934949675951292,1.0,0.0
268,-40,20,0.1476999999999999,0.1476999999999999,"(-45.0, -35.0, 15.0, 25.0)",-0.8306195046880508,1.0,0.0
269,-30,20,0.0313,0.0313,"(-35.0, -25.0, 15.0, 25.0)",-1.5044556624535514,1.0,0.0
270,-20,20,0.0002,0.0002,"(-25.0, -15.0, 15.0, 25.0)",-3.6989700043360187,0.0002,24.0
271,-10,20,0.6176,0.6176,"(-15.0, -5.0, 15.0, 25.0)",-0.20929271267232022,1.0,0.0
272,0,20,0.1899,0.1899,"(-5.0, 5.0, 15.0, 25.0)",-0.7214750352629824,1.0,0.0
273,10,20,0.0974,0.0974,"(5.0, 15.0, 15.0, 25.0)",-1.0114410431213845,1.0,0.0
